obstime,tempr,ap,ws,wd,rh
10-02-2015 04:00,-4.04,967.74,9.28,88.43,NaN
10-02-2015 05:00,-3.49,967.94,7.62,90.23,NaN
10-02-2015 06:00,-2.66,967.86,7.34,81.53,NaN
10-02-2015 07:00,-2.36,968.06,8.02,74.28,NaN
10-02-2015 08:00,-2.02,968.25,8.01,76.23,NaN
10-02-2015 09:00,-1.9,968.43,7.47,79.38,NaN
10-02-2015 10:00,-1.96,968.49,5.96,74.18,NaN
10-02-2015 11:00,-1.72,968.79,4.61,46.73,NaN
10-02-2015 12:00,-1.85,969.25,4.45,49.97,NaN
10-02-2015 13:00,-2.34,969.51,5.3,59.27,NaN
10-02-2015 14:00,-2.46,969.85,3.85,56.42,NaN
10-02-2015 15:00,-2.54,970.16,2.41,87.05,NaN
10-02-2015 16:00,-3.25,970.36,1.63,209.03,NaN
10-02-2015 17:00,-4.61,970.68,3.08,226.82,NaN
10-02-2015 18:00,-5.3,971.24,2.05,211.97,NaN
10-02-2015 19:00,-6.1,971.74,1.94,138.63,NaN
10-02-2015 20:00,-6.2,972.02,2.08,106.67,NaN
10-02-2015 21:00,-6.51,972.35,4.21,119.07,NaN
10-02-2015 22:00,-6.49,972.73,5.46,122.43,NaN
10-02-2015 23:00,-6.45,973.22,5.44,109.88,NaN
11-02-2015 00:00,-6.72,973.75,5.39,113.6,NaN
11-02-2015 01:00,-6.53,974.13,7.3,95,NaN
11-02-2015 02:00,-5.94,974.5,8.73,92.8,NaN
11-02-2015 03:00,-5.42,974.74,9.12,91.22,NaN
11-02-2015 04:00,-4.64,975.08,9.55,89.65,NaN
11-02-2015 05:00,-4.05,975.58,10.53,90.22,NaN
11-02-2015 06:00,-3.79,975.96,10.3,89.32,NaN
11-02-2015 07:00,-3.57,976.29,9.72,87.98,NaN
11-02-2015 08:00,-3.27,976.47,9.29,85.33,NaN
11-02-2015 09:00,-3.17,976.71,8.68,80.55,NaN
11-02-2015 10:00,-3.16,977.1,9.2,70.42,NaN
11-02-2015 11:00,-3.1,977.42,8.32,69.25,NaN
11-02-2015 12:00,-3.17,977.53,7.7,67.33,NaN
11-02-2015 13:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 14:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 15:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 16:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 17:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 18:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 19:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 20:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 21:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 22:00,NaN,NaN,NaN,NaN,NaN
11-02-2015 23:00,NaN,NaN,NaN,NaN,NaN
12-02-2015 00:00,-7.04,978.49,8.65,91.45,NaN
12-02-2015 01:00,-6.57,978.68,8.23,92.82,NaN
12-02-2015 02:00,-5.77,978.7,8.14,91.73,NaN
12-02-2015 03:00,-4.46,978.72,8.2,91.03,NaN
12-02-2015 04:00,-3.61,978.77,8.1,91.13,NaN
12-02-2015 05:00,-2.89,979.01,8.13,91.22,NaN
12-02-2015 06:00,-2.37,979.16,7.66,89.78,NaN
12-02-2015 07:00,-2.28,979.26,7.15,92.32,NaN
12-02-2015 08:00,-2.38,979.32,6.56,82.22,NaN
12-02-2015 09:00,-2.4,979.24,5.88,64.7,NaN
12-02-2015 10:00,-2.35,979.15,5.56,61.42,NaN
12-02-2015 11:00,-2.51,979.08,5.34,50.57,NaN
12-02-2015 12:00,-2.76,979.1,5.26,38.23,NaN
12-02-2015 13:00,-3.08,979.15,5.43,43.03,NaN
12-02-2015 14:00,-3.76,979.04,5.62,50.17,NaN
12-02-2015 15:00,-3.94,978.94,5.54,51.28,NaN
12-02-2015 16:00,-4.07,978.55,5.22,50.54,NaN
12-02-2015 17:00,-4.5,978.22,5.49,64.08,NaN
12-02-2015 18:00,-4.48,977.85,5.48,78,NaN
12-02-2015 19:00,-4.58,977.49,5.96,92.67,NaN
12-02-2015 20:00,-4.99,977.04,5.58,89.9,NaN
12-02-2015 21:00,-5.35,976.53,5,87.63,NaN
12-02-2015 22:00,-5.51,976.23,5.75,91.37,NaN
12-02-2015 23:00,-5.51,976.05,5.45,86.65,NaN
13-02-2015 00:00,-5.11,975.74,7.01,82.42,NaN
13-02-2015 01:00,-4.82,975.41,7.25,83.67,NaN
13-02-2015 02:00,-4.02,975.02,7.14,84.52,NaN
13-02-2015 03:00,-3.25,974.61,6.79,87.63,NaN
13-02-2015 04:00,-2.58,974.36,6.66,87.25,NaN
13-02-2015 05:00,-2.02,974.18,6.82,82.83,NaN
13-02-2015 06:00,-1.28,974.02,6.72,84.52,NaN
13-02-2015 07:00,-1.12,973.82,6.55,81.83,NaN
13-02-2015 08:00,-0.62,973.58,6.99,71.43,NaN
13-02-2015 09:00,-0.57,973.36,6.69,61.17,NaN
13-02-2015 10:00,-0.51,973.19,5.38,72.77,NaN
13-02-2015 11:00,-0.15,973.1,4.92,65.23,NaN
13-02-2015 12:00,-0.4,973.1,3.67,69.78,NaN
13-02-2015 13:00,-0.67,973,3.62,46.13,NaN
13-02-2015 14:00,-1.25,972.91,1.96,58.63,NaN
13-02-2015 15:00,-1.84,972.74,2.01,91.83,NaN
13-02-2015 16:00,-2,972.67,1.11,92.13,NaN
13-02-2015 17:00,-2.45,972.7,2.44,96.1,NaN
13-02-2015 18:00,-2.66,972.95,3,75.05,NaN
13-02-2015 19:00,-3.03,973.21,4.01,91.03,NaN
13-02-2015 20:00,-3.38,973.5,5.6,88.33,NaN
13-02-2015 21:00,-4.05,973.69,7.17,84.88,NaN
13-02-2015 22:00,-4.7,974.12,8.36,81.17,NaN
13-02-2015 23:00,-4.67,974.7,7.63,73.13,NaN
14-02-2015 00:00,-4.87,975.39,7.76,76.52,NaN
14-02-2015 01:00,-4.5,976.05,8.1,79.07,NaN
14-02-2015 02:00,-3.93,976.49,8.92,85.02,NaN
14-02-2015 03:00,-2.37,976.97,9.61,87.45,NaN
14-02-2015 04:00,-1.25,977.56,8.9,85.1,NaN
14-02-2015 05:00,-0.48,978.14,9.3,84.73,NaN
14-02-2015 06:00,0.16,978.51,9.95,83.9,NaN
14-02-2015 07:00,1,978.87,9.26,84.25,NaN
14-02-2015 08:00,1.24,979.13,7.89,76.85,NaN
14-02-2015 09:00,1.77,979.44,6.56,72.88,NaN
14-02-2015 10:00,1.67,979.67,6.44,61.92,NaN
14-02-2015 11:00,2.16,979.71,5.93,73.2,NaN
14-02-2015 12:00,1.95,979.68,5.23,49.97,NaN
14-02-2015 13:00,1.92,979.9,2.67,26.38,NaN
14-02-2015 14:00,1.44,979.96,1.08,150.78,NaN
14-02-2015 15:00,1.39,980.23,1.73,125,NaN
14-02-2015 16:00,0.89,980.52,1.38,207.57,NaN
14-02-2015 17:00,0.24,980.74,2.5,92.68,NaN
14-02-2015 18:00,-0.59,980.9,3.39,93.95,NaN
14-02-2015 19:00,-0.56,981.13,4.76,88.27,NaN
14-02-2015 20:00,-1.95,981.2,6.66,80.67,NaN
14-02-2015 21:00,-2.75,981.44,6.38,84.73,NaN
14-02-2015 22:00,-3.26,981.49,6.89,89.85,NaN
14-02-2015 23:00,-3.92,981.5,8.39,89.73,NaN
15-02-2015 00:00,-4.25,981.49,7.58,80.6,NaN
15-02-2015 01:00,-4.2,981.63,9.99,88.67,NaN
15-02-2015 02:00,-3.69,981.68,9.88,86.93,NaN
15-02-2015 03:00,-2.95,981.78,10.04,86.57,NaN
15-02-2015 04:00,-2.56,981.62,11.74,84.53,NaN
15-02-2015 05:00,-1.74,981.47,12.75,84.87,NaN
15-02-2015 06:00,-1.31,981.42,12.38,87.2,NaN
15-02-2015 07:00,-0.77,981.31,11.45,84.08,NaN
15-02-2015 08:00,-0.31,981.29,10.2,78.37,NaN
15-02-2015 09:00,-0.22,981.29,9.4,75.13,NaN
15-02-2015 10:00,-0.1,981.12,9.58,68.35,NaN
15-02-2015 11:00,-0.08,980.85,9.14,61.63,NaN
15-02-2015 12:00,-0.03,980.74,7.93,57.95,NaN
15-02-2015 13:00,-0.3,980.56,7.01,52.1,NaN
15-02-2015 14:00,-0.58,980.4,5.52,40.1,NaN
15-02-2015 15:00,-0.88,980.12,4.25,56.88,NaN
15-02-2015 16:00,-1.12,979.71,4.62,60.8,NaN
15-02-2015 17:00,-0.78,979.48,6.01,60.88,NaN
15-02-2015 18:00,-0.93,979.13,7.58,59.2,NaN
15-02-2015 19:00,-1.55,978.96,8.36,64.12,NaN
15-02-2015 20:00,-1.64,978.72,8.15,63.72,NaN
15-02-2015 21:00,-1.59,978.39,7.99,73.79,NaN
15-02-2015 22:00,-1.74,978.07,8.54,69.84,NaN
15-02-2015 23:00,-1.08,977.91,8.53,72.92,NaN
16-02-2015 00:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 01:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 02:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 03:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 04:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 05:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 06:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 07:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 08:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 09:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 10:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 11:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 12:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 13:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 14:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 15:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 16:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 17:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 18:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 19:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 20:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 21:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 22:00,NaN,NaN,NaN,NaN,NaN
16-02-2015 23:00,NaN,NaN,NaN,NaN,NaN
17-02-2015 00:00,-4.19,973.81,11.66,78.07,NaN
17-02-2015 01:00,-3.88,973.69,11.9,77.62,NaN
17-02-2015 02:00,-3.34,973.62,11.73,78.32,NaN
17-02-2015 03:00,-2.83,973.59,11.08,77.9,NaN
17-02-2015 04:00,-2.04,973.6,10.72,78.13,NaN
17-02-2015 05:00,-1.43,973.48,10.13,76,NaN
17-02-2015 06:00,-0.91,973.29,9.45,77.12,NaN
17-02-2015 07:00,-0.67,973.17,9.18,77.37,NaN
17-02-2015 08:00,-0.42,972.87,8.68,73.93,NaN
17-02-2015 09:00,-0.45,972.57,8.08,67.93,NaN
17-02-2015 10:00,-0.58,972.17,7.25,59.68,NaN
17-02-2015 11:00,-0.42,971.72,6.3,55.62,NaN
17-02-2015 12:00,-0.76,971.43,5.13,51.07,NaN
17-02-2015 13:00,-1.56,971.28,4.43,46.18,NaN
17-02-2015 14:00,-2.58,971.23,4.01,32.38,NaN
17-02-2015 15:00,-3.23,971.04,2.28,47.57,NaN
17-02-2015 16:00,-3.93,970.94,2.5,95.15,NaN
17-02-2015 17:00,-4.61,970.7,4.76,89.83,NaN
17-02-2015 18:00,-5.1,970.7,5.51,81.88,NaN
17-02-2015 19:00,-5.58,970.47,8.13,81.58,NaN
17-02-2015 20:00,-5.53,970.31,10.24,77.75,NaN
17-02-2015 21:00,-5.68,970.24,10.76,76.97,NaN
17-02-2015 22:00,-5.84,970.23,10.73,76.38,NaN
17-02-2015 23:00,-5.78,970.35,9.94,80.67,NaN
18-02-2015 00:00,-5.36,970.4,9.9,83.58,NaN
18-02-2015 01:00,-4.5,970.33,10.2,78.58,NaN
18-02-2015 02:00,-3.94,970.37,9.44,78.55,NaN
18-02-2015 03:00,-3.81,970.31,8.61,79.92,NaN
18-02-2015 04:00,-3.61,970.18,9.11,81.83,NaN
18-02-2015 05:00,-3.23,970.16,9.44,76.9,NaN
18-02-2015 06:00,-2.76,970,10.55,67.38,NaN
18-02-2015 07:00,-1.96,969.98,10.8,62.83,NaN
18-02-2015 08:00,-1.95,970.09,10.8,63.73,NaN
18-02-2015 09:00,-2.16,969.91,10.51,64.63,NaN
18-02-2015 10:00,-2.35,969.65,9.52,62.68,NaN
18-02-2015 11:00,-2.34,969.48,8.41,59.45,NaN
18-02-2015 12:00,-2.4,969.26,8,54.47,NaN
18-02-2015 13:00,-2.34,969.37,7.27,39.28,NaN
18-02-2015 14:00,-2.25,969.49,6.28,48.13,NaN
18-02-2015 15:00,-2.76,969.39,4.81,48.75,NaN
18-02-2015 16:00,-3.04,969.25,4.23,55.68,NaN
18-02-2015 17:00,-2.97,969,3.58,71.28,NaN
18-02-2015 18:00,-3.32,968.76,3.86,69.05,NaN
18-02-2015 19:00,-3.45,968.52,5.09,59.58,NaN
18-02-2015 20:00,-3.62,968.36,4.38,81.12,NaN
18-02-2015 21:00,-3.36,968.24,4.39,87.58,NaN
18-02-2015 22:00,-3.83,968.03,4.53,86.38,NaN
18-02-2015 23:00,-3.79,967.89,5.13,87.88,NaN
19-02-2015 00:00,-3.76,967.92,5.78,90.75,NaN
